IMPORTAR,PRODUTO_ID_ORIGEM,NOME_ORIGINAL,NOME_PADRONIZADO,CODIGO_FABRICANTE,MARCA,CATEGORIA,UNIDADE,CUSTO_A_VISTA,CUSTO_FATURADO,PRECO_SUGERIDO,PRECO_MINIMO_CLIENTE,PRECO_VENDA,TIPO_PRECO,FONTE,CONFIANCA,STATUS_CONFERENCIA,DUPLICADO_DE,OBSERVACAO,STATUS_IMPORTACAO,IS_ACTIVE_NA_IMPORTACAO,CONDICAO_CUSTO,VIGENCIA_INICIO,ORIGEM_PRECO,PRECO_ORIGINAL,PRECO_CORRIGIDO,MOTIVO_CORRECAO,DECISAO_NECESSARIA,CODIGO_SISTEMA,PENDENCIAS_CADASTRO,CONFIANCA_ORIGEM_DJI,CATEGORIA_AGROTORK,CATEGORIA_ACAO,MARCA_ACAO,SOURCE_TYPE,SOURCE_BRAND,SOURCE_CATALOG,SOURCE_VERSION,SOURCE_REFERENCE,NCM,ICMS,PRECO_REVENDA_JR
SIM,DJI-001,DRONE AGRAS T100 + 3 BAT + CARREGADOR C12000,DRONE AGRAS T100 + 3 BAT + CARREGADOR C12000,,DJI,KIT DRONE,UN,161900,165500,,225000,,MINIMO_CLIENTE,DJI SUBDEALER V16.2,ALTA,OK,,confianca ALTA,IMPORTAR INATIVO - AGUARDA PRECO DE VENDA,NAO,AVISTA + FATURADO,2026-09-01,DJI SUBDEALER V16.2,,,,,DJI-001,CATEGORIA PENDENTE,ALTA,,CRIAR CATEGORIA: Drones,JA CADASTRADA,price_list,DJI,TABELA SUBDEALER,V16.2,PRODUTOS!DJI-001,,,
SIM,DJI-002,DRONE AGRAS T100 + 3 BAT + GERADOR D14000,DRONE AGRAS T100 + 3 BAT + GERADOR D14000,,DJI,KIT DRONE,UN,170050,173700,,236000,,MINIMO_CLIENTE,DJI SUBDEALER V16.2,ALTA,OK,,confianca ALTA,IMPORTAR INATIVO - AGUARDA PRECO DE VENDA,NAO,AVISTA + FATURADO,2026-09-01,DJI SUBDEALER V16.2,,,,,DJI-002,CATEGORIA PENDENTE,ALTA,,CRIAR CATEGORIA: Drones,JA CADASTRADA,price_list,DJI,TABELA SUBDEALER,V16.2,PRODUTOS!DJI-002,,,
SIM,DJI-003,DRONE AGRAS T70P + 3 BAT + CARREGADOR C12000,DRONE AGRAS T70P + 3 BAT + CARREGADOR C12000,,DJI,KIT DRONE,UN,128300,131000,,180000,,MINIMO_CLIENTE,DJI SUBDEALER V16.2,ALTA,OK,,confianca ALTA,IMPORTAR INATIVO - AGUARDA PRECO DE VENDA,NAO,AVISTA + FATURADO,2026-09-01,DJI SUBDEALER V16.2,,,,,DJI-003,CATEGORIA PENDENTE,ALTA,,CRIAR CATEGORIA: Drones,JA CADASTRADA,price_list,DJI,TABELA SUBDEALER,V16.2,PRODUTOS!DJI-003,,,
SIM,DJI-004,DRONE AGRAS T70P + 3 BAT + GERADOR D14000,DRONE AGRAS T70P + 3 BAT + GERADOR D14000,,DJI,KIT DRONE,UN,136440,139400,,191000,,MINIMO_CLIENTE,DJI SUBDEALER V16.2,ALTA,OK,,confianca ALTA,IMPORTAR INATIVO - AGUARDA PRECO DE VENDA,NAO,AVISTA + FATURADO,2026-09-01,DJI SUBDEALER V16.2,,,,,DJI-004,CATEGORIA PENDENTE,ALTA,,CRIAR CATEGORIA: Drones,JA CADASTRADA,price_list,DJI,TABELA SUBDEALER,V16.2,PRODUTOS!DJI-004,,,
SIM,DJI-005,DRONE AGRAS T25P + 3 BAT + CARREGADOR C8000,DRONE AGRAS T25P + 3 BAT + CARREGADOR C8000,,DJI,KIT DRONE,UN,61789,64250,,87000,,MINIMO_CLIENTE,DJI SUBDEALER V16.2,ALTA,OK,,confianca ALTA,IMPORTAR INATIVO - AGUARDA PRECO DE VENDA,NAO,AVISTA + FATURADO,2026-09-01,DJI SUBDEALER V16.2,,,,,DJI-005,CATEGORIA PENDENTE,ALTA,,CRIAR CATEGORIA: Drones,JA CADASTRADA,price_list,DJI,TABELA SUBDEALER,V16.2,PRODUTOS!DJI-005,,,
SIM,DJI-006,DRONE AGRAS T25P + 3 BAT + GERADOR D6000,DRONE AGRAS T25P + 3 BAT + GERADOR D6000,,DJI,KIT DRONE,UN,65292,67900,,91935,,MINIMO_CLIENTE,DJI SUBDEALER V16.2,ALTA,OK,,confianca ALTA,IMPORTAR INATIVO - AGUARDA PRECO DE VENDA,NAO,AVISTA + FATURADO,2026-09-01,DJI SUBDEALER V16.2,,,,,DJI-006,CATEGORIA PENDENTE,ALTA,,CRIAR CATEGORIA: Drones,JA CADASTRADA,price_list,DJI,TABELA SUBDEALER,V16.2,PRODUTOS!DJI-006,,,
SIM,DJI-007,DRONE AGRAS T55 + 3 BAT DB1050 + CARREGADOR C7000,DRONE AGRAS T55 + 3 BAT DB1050 + CARREGADOR C7000,,DJI,KIT DRONE,UN,96483,101401,,130000,,MINIMO_CLIENTE,DJI SUBDEALER V16.2,ALTA,OK,,confianca ALTA,IMPORTAR INATIVO - AGUARDA PRECO DE VENDA,NAO,AVISTA + FATURADO,2026-09-01,DJI SUBDEALER V16.2,,,,,DJI-007,CATEGORIA PENDENTE,ALTA,,CRIAR CATEGORIA: Drones,JA CADASTRADA,price_list,DJI,TABELA SUBDEALER,V16.2,PRODUTOS!DJI-007,,,
SIM,DJI-008,DRONE AGRAS T55 + 3 BAT DB1050 + GERADOR D8000,DRONE AGRAS T55 + 3 BAT DB1050 + GERADOR D8000,,DJI,KIT DRONE,UN,107364,112825,,143000,,MINIMO_CLIENTE,DJI SUBDEALER V16.2,ALTA,OK,,confianca ALTA,IMPORTAR INATIVO - AGUARDA PRECO DE VENDA,NAO,AVISTA + FATURADO,2026-09-01,DJI SUBDEALER V16.2,,,,,DJI-008,CATEGORIA PENDENTE,ALTA,,CRIAR CATEGORIA: Drones,JA CADASTRADA,price_list,DJI,TABELA SUBDEALER,V16.2,PRODUTOS!DJI-008,,,
SIM,DJI-009,DRONE AGRAS T55 + 3 BAT DB1580 + CARREGADOR C12000,DRONE AGRAS T55 + 3 BAT DB1580 + CARREGADOR C12000,,DJI,KIT DRONE,UN,113789,119400,,156000,,MINIMO_CLIENTE,DJI SUBDEALER V16.2,ALTA,OK,,confianca ALTA,IMPORTAR INATIVO - AGUARDA PRECO DE VENDA,NAO,AVISTA + FATURADO,2026-09-01,DJI SUBDEALER V16.2,,,,,DJI-009,CATEGORIA PENDENTE,ALTA,,CRIAR CATEGORIA: Drones,JA CADASTRADA,price_list,DJI,TABELA SUBDEALER,V16.2,PRODUTOS!DJI-009,,,
SIM,DJI-010,DRONE AGRAS T55 + 3 BAT DB1580 + GERADOR D14000,DRONE AGRAS T55 + 3 BAT DB1580 + GERADOR D14000,,DJI,KIT DRONE,UN,121069,127200,,167000,,MINIMO_CLIENTE,DJI SUBDEALER V16.2,ALTA,OK,,confianca ALTA,IMPORTAR INATIVO - AGUARDA PRECO DE VENDA,NAO,AVISTA + FATURADO,2026-09-01,DJI SUBDEALER V16.2,,,,,DJI-010,CATEGORIA PENDENTE,ALTA,,CRIAR CATEGORIA: Drones,JA CADASTRADA,price_list,DJI,TABELA SUBDEALER,V16.2,PRODUTOS!DJI-010,,,
